CER Category					Examples	AutoExpanded
		Genetic property			heterozygous, homozygous, dominant, recessive, genotype, phenotype, autosomal, allosome, genetic, chromosomal, phenotypical	heterozygous, homozygous, dominant, recessive, genotype, phenotype, autosomal, allosome, genetic, chromosomal, phenotypical, |, genetics, genotypes, genotyped, chromosome, chromosomes, recessives, genotyping, phenotypes
	Monera				monera, microbe, moneran, prokaryotic cell, prokaryotic organism, prokaryote, microorganism, microorganisms	monera, microbe, moneran, prokaryotic cell, prokaryotic organism, prokaryote, microorganism, microorganisms, |, prokaryotic-cell, prokaryotic-organism, microbes, prokaryotes
		Archaea			archaea, euryachaeota, crenarchaeota, lokiarchaeota, acidilobus, pyrodictiaceae, stygiolobus, vulcanisaeta, Vulcanisaeta distributa, geoglobus	archaea, euryachaeota, crenarchaeota, lokiarchaeota, acidilobus, pyrodictiaceae, stygiolobus, vulcanisaeta, vulcanisaeta distributa, geoglobus, |, vulcanisaeta-distributa
		Bacteria			bacteria, eubacteria, E. coli, Escherichia coli, nitrogen-fixing bacteria, anaerobic bacteria, proteobacteria, aquificae, streptobacillus, cyanobacteria, bacterium, bacterial culture, bacterial cultures, coli	bacteria, eubacteria, e. coli, escherichia coli, nitrogen-fixing bacteria, anaerobic bacteria, proteobacteria, aquificae, streptobacillus, cyanobacteria, bacterium, bacterial cultures, |, e.-coli, nitrogen-fixing-bacteria, bacterial-cultures, anaerobic-bacteria, nitrogen fixing bacteria, escherichia-coli, bacterial
			bacteria part		capsule, endospore, pili, flagella, nucleoid, cytoplasm, cell wall, cytoplasmic membrane, ribosome, ribosomes, gram-positive cell wall, gram-negative cell wall, plasma membrane, fimbriae, s-layer, glycocalyx, plasmid, plasmids, flagellum	capsule, endospore, pili, flagella, nucleoid, cytoplasm, cell wall, cytoplasmic membrane, ribosomes, gram-positive cell wall, gram-negative cell wall, plasma membrane, fimbriae, s-layer, glycocalyx, plasmids, flagellum, |, cell-wall, flagellums, cytoplasms, gram positive cell wall, capsules, gram-positive-cell-wall, gram-negative-cell-wall, cytoplasmic-membrane, gram negative cell wall, ribosome, plasmid, plasma-membrane, s layer
	Protist				algal colony, Protista, paramecium, protist, algae, volvox, bi-flagellate autotroph, lichen, protozoan, Spirogyra, algae, vegetation, algae bloom, algae blooms, algal growth, algal mat, seaweed, algal bloom	algal colony, protista, paramecium, protist, algae, volvox, bi-flagellate autotroph, lichen, protozoan, spirogyra, algae, vegetation, algae blooms, algal growth, algal mat, seaweed, algal bloom, |, seaweeds, algal-mat, bi-flagellate-autotroph, protists, vegetations, algal-growth, algae-blooms, algal-bloom, algal-colony, lichens, protozoans, algas, bi flagellate autotroph
	Plant				vegetable, plant,  plants, tree, Plantae, seedling, marsh willow herb, ocean plant, water plant, water plants, vine, evergreen, daffodil, pioneer plant, agricultural crop, agricultural crops, food crop, food crops, crop, crops, lawn, vegetation, houseplant, houseplants, brush, shrub, shrubs, marine plant, marine plants, bush, weed, hay, lettuce, pea, watercress plant, aquatic plant, foliage, weeds, wildflowers, bushes, pioneer species, hardwood tree, saplings, redwood trees	vegetable, plants, tree, plantae, seedling, marsh willow herb, ocean plant, water plants, vine, evergreen, daffodil, pioneer plant, agricultural crops, food crops, crops, lawn, vegetation, houseplants, brush, shrubs, marine plants, bush, weed, hay, lettuce, pea, watercress plant, aquatic plant, foliage, weeds, wildflowers, bushes, pioneer species, hardwood tree, saplings, redwood trees, |, planted, vegetables, peach, plant, evergreens, hardwood-tree, planting, brushing, weer, vines, cropped, seedlings, trees, vegetations, weeding, agricultural-crops, houseplant, watercress-plant, shrubby, weeded, cropping, food-crops, peas, brushed, weeing, ocean-plant, shrub, treeing, daffodils, pioneer-plant, marine-plants, pioneer-species, treed, pear, marsh-willow-herb, plantings, brushes, aquatic-plant, water-plants, lawns, crop, wees, redwood-trees, lettuces
		bryophyte			liverwort, moss, great scented liverword, silvery bryum, riccia fluitans, mountain fern moss, pleurozium schreberi, pincushion moss, sphagnum capillifolium, bank haircap	liverwort, moss, great scented liverword, silvery bryum, riccia fluitans, mountain fern moss, pleurozium schreberi, pincushion moss, sphagnum capillifolium, bank haircap, |, great-scented-liverword, bank-haircap, liverworts, riccia-fluitans, mountain-fern-moss, pincushion-moss, mosses, silvery-bryum, sphagnum-capillifolium, pleurozium-schreberi
		seedless vascular			fern, club moss, club mosses, horesetail, horsetails, psilotum, whisk fern, whisk ferns, seedless vascular plant, lycopodiophyta, quillwort, quillworts, spike moss, spike mosses	fern, club mosses, horsetails, psilotum, whisk ferns, seedless vascular plant, lycopodiophyta, quillworts, spike mosses, |, ferns, whisk-ferns, club-mosses, seedless-vascular-plant, spike-mosses
		gymnosperm			ginkgo, sequoia, thuja, Taxaceae, pine tree, Abies cilicica, Manchurian fir, Dioon mejiae, gymnosperm, cycad, cycads, Glossopteris, redwood tree, redwood trees, Australian pine, jack pine tree, spruce tree, pine	ginkgo, sequoia, thuja, taxaceae, pine tree, abies cilicica, manchurian fir, dioon mejiae, gymnosperm, cycads, glossopteris, redwood tree, redwood trees, australian pine, jack pine tree, spruce tree, |, manchurian-fir, dioon-mejiae, jack-pine-tree, pine-tree, redwood-tree, ginkgos, sequoias, abies-cilicica, ginkgoes, australian-pine, spruce-tree, redwood-trees
		angiosperm			sunflower, grass, oak tree, aloe, Melaleuca, cacti, cactus, palm, apple tree, salmonberry, rosebush, blackberry, lemon tree, snapdragon, snapdragons, sugar maple tree, sugar maple trees, flowerbed, flowerbeds, wildflower, bean plant, milkweed, apple, orange, shamrock, hydrangea, tobacco, strawberry, bean, potato, carrot, pumpkin, oak, maple tree, onion, cucumber, broccoli, acacia, cholla, dandelion, oak, crabgrass, pecan tree, maple tree, buckeye, maple, marigold, marigolds, daisy, daisies, willow, willows, snapdragon, legume, legumes, blueberry	sunflower, grass, oak tree, aloe, melaleuca, cactus, palm, apple tree, salmonberry, rosebush, blackberry, lemon tree, snapdragons, sugar maple trees, flowerbeds, wildflower, bean plant, milkweed, apple, orange, shamrock, hydrangea, tobacco, strawberry, bean, potato, carrot, pumpkin, oak, maple tree, onion, cucumber, broccoli, acacia, cholla, dandelion, oak, crabgrass, pecan tree, maple tree, buckeye, maple, marigolds, daisies, |, palming, sunflowers, beans, grassed, aloes, pecan-tree, onions, pumpkins, cacti, cucumbers, shamrocks, maples, bean-plant, maple-tree, cactuses, lemon-tree, apples, grasses, hydrangeas, acacias, tobaccos, strawberries, carrots, dandelions, oaks, sugar-maple-trees, orangest, grassing, blackberries, rosebushes, palms, oak-tree, apple-tree, oranger, potatoes, palmed, tobaccoes, oranges, wildflowers
		Plant Part			leaf, leaves, fruit, plant tissue, vascular tissue, chlorophyll, seed, root, flower, stem, petal, blossom, branch, spine, xylem, phloem, bark, bulb, needles, stump, stumps, pollen, leaf, acorn, chloroplast, chloroplasts, sprout, sprouts, trunk, trunks, thorn, thorns, nut, spore, photosynthetic tissue, sap, rhizome, limb, berry, berries, clippings, acorn, acorns, tree stump, twig, twigs, trunk, rootlike, leaf, spores, stoma, stomata, blade, blades, log, kernel, kernels, mesophyll	leaves, fruit, plant tissue, vascular tissue, chlorophyll, seed, root, flower, stem, petal, blossom, branch, spine, xylem, phloem, bark, bulb, needles, stump, stumps, pollen, leaf, acorn, chloroplast, chloroplasts, sprout, sprouts, trunk, trunks, thorn, thorns, nut, spore, photosynthetic tissue, sap, rhizome, limb, berries, clippings, acorns, tree stump, twigs, trunk, rootlike, leaf, spores, |, twigged, fruited, berrying, bulbs, flowering, plant-tissue, saps, needle, spines, fruiting, berried, flowered, rhizomes, fruits, leafed, roots, sprouting, seeding, photosynthetic-tissue, branched, seeded, needled, sapped, nutting, rooting, sprouted, stemming, limbs, pollens, barks, twig, barking, nutted, twigging, petals, branching, rooted, leafs, seeds, blossoms, blossomed, needling, vascular-tissue, stumped, xylems, leafing, branches, stems, nuts, stumping, tree-stump, flowers, stemmed, blossoming, sapping, barked, chlorophylls
		other descriptions for plants (biennial, leafy, etc)			grassy, leafy, biennial, annual, perennial, shrubby, flowering, deep-rooted, gnarled, stemmed, marine, broadleaf, pine, deadwood	grassy, leafy, biennial, annual, perennial, shrubby, flowering, deep-rooted, gnarled, stemmed, marine, broadleaf, pine, deadwood, |, biennials, flowered, grassiest, broadleaves, annuals, gnarling, stemming, grassier, leafier, marines, leafiest, pined, deep rooted, pines, pining, stems, annually, gnarls, perennials, flowers, broadleafs
	Taxonomy				kingdom, phylum, class, order, family, genus, species, domain, taxonomic group, life, subspecies, taxonomic	kingdom, phylum, class, order, family, genus, species, domain, taxonomic group, life, subspecies, taxonomic, |, genuses, taxonomical, kingdoms, lifes, classing, classes, domains, ordered, classed, ordering, orders, taxonomic-group, families, phyla, genera
						
						
Organic Processes					function, biological process, process, organic process, biological function, fermentation, germination, tropism, hybridization, morphogenesis, organic reactions, biochemical activity, naturally occurring, naturally	function, biological process, process, organic process, biological function, fermentation, germination, tropism, hybridization, morphogenesis, organic reactions, biochemical activity, naturally occurring, naturally, |, germinations, germinated, organic-process, biological-process, tropisms, functioned, fermentations, biochemical-activity, germinates, morphogeneses, processing, hybridizations, naturally-occurring, functioning, germinating, germinate, processes, biological-function, processed, organic-reactions, functions, functional
	Organism relationships				mutualism, parasitism, neutralism, commensalism, symbiotic relationship, competition, predation, coexistence, symbiosis, herbivory, amensalism, endosymbiotic, host, parasite, parasite-host relationship, mutualistic relationship, mutualism, parasitic, mutualistic, symbiotic, competitive, competitor, host, parasite, cooperative relationship	mutualism, parasitism, neutralism, commensalism, symbiotic relationship, competition, predation, coexistence, symbiosis, herbivory, amensalism, endosymbiotic, host, parasite, parasite-host relationship, mutualistic relationship, mutualism, parasitic, mutualistic, symbiotic, competitive, competitor, host, parasite, cooperative relationship, |, parasitisms, parasite host relationship, competitors, coexistences, hosted, mutualisms, parasite-host-relationship, mutualistic-relationship, competitives, hosts, symbiotic-relationship, symbioses, cooperative-relationship, hosting, parasites, competitions
	Physical Activity				aerobic, anaerobic, aerobic activity, anaerobic activity, physical activity, activity, exercise, sedentary activity, standing, light activity, moderate activity, vigorous activity, exertion, flexibility, flexibility exercise, dynamic, static, phisical fitness, recreation, fatigue, fitness	aerobic, anaerobic, aerobic activity, anaerobic activity, physical activity, activity, exercise, sedentary activity, standing, light activity, moderate activity, vigorous activity, exertion, flexibility, flexibility exercise, dynamic, static, phisical fitness, recreation, fatigue, |, statics, aerobic-activity, exercised, fatigued, exercising, exertions, stands, fatiguing, activities, sedentary-activity, dynamics, physical-activity, moderate-activity, recreational, stand, exercises, vigorous-activity, anaerobic-activity, flexibilities, fatigues, recreations, aerobics, stood, light-activity, flexibility-exercise, phisical-fitness
	Adaptation				adaptation, adaption, adjustment, alterations, changes, diachronic changes, acclimatization, dedifferentiation, domestication, specialization, biodiversity, diversification, bottleneck effect, geographic isolation, isolation	adaptation, adaption, adjustment, alterations, changes, diachronic changes, acclimatization, dedifferentiation, domestication, specialization, biodiversity, diversification, bottleneck effect, geographic isolation, isolation, |, adaptations, adapting, isolations, geographic-isolation, diversifications, domestications, adjusted, adapted, adjusts, changed, adjust, adaptions, diachronic-changes, change, specializations, adjusting, adjustments, changing, acclimatizations, bottleneck-effect, adapts
